"No.","Time","Source","Destination","Protocol","Length","Info"
"486","4617.638757","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 487)"
"487","4617.638893","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 486)"
"488","4618.638764","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 489)"
"489","4618.638848","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 488)"
"490","4619.638761","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 491)"
"491","4619.638880","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 490)"
"492","4620.638772","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 493)"
"493","4620.638890","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 492)"
"494","4621.638731","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 495)"
"495","4621.638861","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 494)"
"496","4622.638714","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 497)"
"497","4622.638914","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 496)"
"500","4623.638729","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 501)"
"501","4623.638837","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 500)"
"502","4624.638727","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 503)"
"503","4624.638831","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 502)"
"504","4625.638735","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 505)"
"505","4625.638858","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 504)"
"506","4626.638725","192.168.0.10","192.168.0.1","ICMP","60","Echo (ping) request  id=0x04d2, seq=0/0, ttl=127 (reply in 507)"
"507","4626.638833","192.168.0.1","192.168.0.10","ICMP","60","Echo (ping) reply    id=0x04d2, seq=0/0, ttl=64 (request in 506)"
